case_order,case_id,model,domain,scc_id,scc_size,template,root,witness,bridge,affected_count,source_result_file,old_llm_calls,old_time_sec
56,056_gpt-4o_cuad17_scc_0_condition_trigger,gpt-4o,cuad,scc_0,17,condition_trigger,cuad_AimmuneTherapeuticsInc_20200205_8_K_EX_1__cuad_AimmuneTherapeuticsInc_20200205_8_K__a14c0805__9.3.3,cuad_AimmuneTherapeuticsInc_20200205_8_K_EX_1__cuad_AimmuneTherapeuticsInc_20200205_8_K__a14c0805__9.4.2,cuad_AimmuneTherapeuticsInc_20200205_8_K_EX_1__cuad_AimmuneTherapeuticsInc_20200205_8_K__a14c0805__11,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad17_condition_trigger_critical_b60_1778869061.json,60,266.47658014297485
57,057_gpt-4o_cuad18_scc_6_direct_mutex,gpt-4o,cuad,scc_6,18,direct_mutex,cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_EX___cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_ef785c62__9,cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_EX___cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_ef785c62__2,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad18_direct_mutex_critical_b60_1778869070.json,60,297.19686794281006
58,058_gpt-4o_cuad18_scc_6_handoff_invariant,gpt-4o,cuad,scc_6,18,handoff_invariant,cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_EX___cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_ef785c62__9,cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_EX___cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_ef785c62__2,cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_EX___cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_ef785c62__11,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad18_handoff_invariant_critical_b60_1778869144.json,60,378.91031193733215
59,059_gpt-4o_cuad18_scc_6_temporal_gate,gpt-4o,cuad,scc_6,18,temporal_gate,cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_EX___cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_ef785c62__9,cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_EX___cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_ef785c62__2,cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_EX___cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_ef785c62__11,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad18_temporal_gate_critical_b60_1778869285.json,60,241.74254703521729
60,060_gpt-4o_cuad18_scc_6_condition_trigger,gpt-4o,cuad,scc_6,18,condition_trigger,cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_EX___cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_ef785c62__9,cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_EX___cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_ef785c62__2,cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_EX___cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_ef785c62__11,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad18_condition_trigger_critical_b60_1778869501.json,60,252.37758111953735
61,061_gpt-4o_cuad20_scc_28_direct_mutex,gpt-4o,cuad,scc_28,20,direct_mutex,cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_10___cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_05df4e9e__9.2.9,cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_10___cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_05df4e9e__19.3,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad20_direct_mutex_critical_b60_1778869652.json,60,362.99630784988403
62,062_gpt-4o_cuad20_scc_28_handoff_invariant,gpt-4o,cuad,scc_28,20,handoff_invariant,cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_10___cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_05df4e9e__9.2.9,cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_10___cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_05df4e9e__19.3,cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_10___cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_05df4e9e__16.6,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad20_handoff_invariant_critical_b60_1778869665.json,60,326.5590741634369
63,063_gpt-4o_cuad20_scc_28_temporal_gate,gpt-4o,cuad,scc_28,20,temporal_gate,cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_10___cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_05df4e9e__9.2.9,cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_10___cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_05df4e9e__19.3,cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_10___cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_05df4e9e__16.6,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad20_temporal_gate_critical_b60_1778869687.json,60,453.64094614982605
64,064_gpt-4o_cuad20_scc_28_condition_trigger,gpt-4o,cuad,scc_28,20,condition_trigger,cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_10___cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_05df4e9e__9.2.9,cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_10___cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_05df4e9e__19.3,cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_10___cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_05df4e9e__16.6,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad20_condition_trigger_critical_b60_1778869740.json,60,441.9958658218384
65,065_gpt-4o_cuad24_scc_21_direct_mutex,gpt-4o,cuad,scc_21,24,direct_mutex,cuad_ChinaRealEstateInformationCorp_20090929___cuad_ChinaRealEstateInformationCorp_20090_cde1bad6__6.7,cuad_ChinaRealEstateInformationCorp_20090929___cuad_ChinaRealEstateInformationCorp_20090_cde1bad6__2.2,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad24_direct_mutex_critical_b60_1778869827.json,60,239.6987988948822
66,066_gpt-4o_cuad24_scc_21_handoff_invariant,gpt-4o,cuad,scc_21,24,handoff_invariant,cuad_ChinaRealEstateInformationCorp_20090929___cuad_ChinaRealEstateInformationCorp_20090_cde1bad6__6.7,cuad_ChinaRealEstateInformationCorp_20090929___cuad_ChinaRealEstateInformationCorp_20090_cde1bad6__2.2,cuad_ChinaRealEstateInformationCorp_20090929___cuad_ChinaRealEstateInformationCorp_20090_cde1bad6__9.2,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad24_handoff_invariant_critical_b60_1778869853.json,57,261.7561538219452
67,067_gpt-4o_cuad24_scc_21_temporal_gate,gpt-4o,cuad,scc_21,24,temporal_gate,cuad_ChinaRealEstateInformationCorp_20090929___cuad_ChinaRealEstateInformationCorp_20090_cde1bad6__6.7,cuad_ChinaRealEstateInformationCorp_20090929___cuad_ChinaRealEstateInformationCorp_20090_cde1bad6__2.2,cuad_ChinaRealEstateInformationCorp_20090929___cuad_ChinaRealEstateInformationCorp_20090_cde1bad6__9.2,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad24_temporal_gate_critical_b60_1778870158.json,60,261.71732902526855
68,068_gpt-4o_cuad24_scc_21_condition_trigger,gpt-4o,cuad,scc_21,24,condition_trigger,cuad_ChinaRealEstateInformationCorp_20090929___cuad_ChinaRealEstateInformationCorp_20090_cde1bad6__6.7,cuad_ChinaRealEstateInformationCorp_20090929___cuad_ChinaRealEstateInformationCorp_20090_cde1bad6__2.2,cuad_ChinaRealEstateInformationCorp_20090929___cuad_ChinaRealEstateInformationCorp_20090_cde1bad6__9.2,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad24_condition_trigger_critical_b60_1778870171.json,60,227.80019521713257
69,069_gpt-4o_cuad25_scc_17_direct_mutex,gpt-4o,cuad,scc_17,25,direct_mutex,cuad_CERES_INC_01_25_2012_EX_10_20_Collaborat__cuad_CERES_INC_01_25_2012_EX_10_20_Collab_836bcf4c__4.2.2,cuad_CERES_INC_01_25_2012_EX_10_20_Collaborat__cuad_CERES_INC_01_25_2012_EX_10_20_Collab_836bcf4c__13.1,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad25_direct_mutex_critical_b60_1778870199.json,60,272.35966420173645
70,070_gpt-4o_cuad25_scc_17_handoff_invariant,gpt-4o,cuad,scc_17,25,handoff_invariant,cuad_CERES_INC_01_25_2012_EX_10_20_Collaborat__cuad_CERES_INC_01_25_2012_EX_10_20_Collab_836bcf4c__4.2.2,cuad_CERES_INC_01_25_2012_EX_10_20_Collaborat__cuad_CERES_INC_01_25_2012_EX_10_20_Collab_836bcf4c__13.1,cuad_CERES_INC_01_25_2012_EX_10_20_Collaborat__cuad_CERES_INC_01_25_2012_EX_10_20_Collab_836bcf4c__7,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad25_handoff_invariant_critical_b60_1778870536.json,60,371.7752249240875
71,071_gpt-4o_cuad25_scc_17_temporal_gate,gpt-4o,cuad,scc_17,25,temporal_gate,cuad_CERES_INC_01_25_2012_EX_10_20_Collaborat__cuad_CERES_INC_01_25_2012_EX_10_20_Collab_836bcf4c__4.2.2,cuad_CERES_INC_01_25_2012_EX_10_20_Collaborat__cuad_CERES_INC_01_25_2012_EX_10_20_Collab_836bcf4c__13.1,cuad_CERES_INC_01_25_2012_EX_10_20_Collaborat__cuad_CERES_INC_01_25_2012_EX_10_20_Collab_836bcf4c__7,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad25_temporal_gate_critical_b60_1778870583.json,57,356.59743785858154
72,072_gpt-4o_cuad25_scc_17_condition_trigger,gpt-4o,cuad,scc_17,25,condition_trigger,cuad_CERES_INC_01_25_2012_EX_10_20_Collaborat__cuad_CERES_INC_01_25_2012_EX_10_20_Collab_836bcf4c__4.2.2,cuad_CERES_INC_01_25_2012_EX_10_20_Collaborat__cuad_CERES_INC_01_25_2012_EX_10_20_Collab_836bcf4c__13.1,cuad_CERES_INC_01_25_2012_EX_10_20_Collaborat__cuad_CERES_INC_01_25_2012_EX_10_20_Collab_836bcf4c__7,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad25_condition_trigger_critical_b60_1778870583.json,60,382.6533818244934
73,073_gpt-4o_cuad28_scc_39_direct_mutex,gpt-4o,cuad,scc_39,28,direct_mutex,cuad_MANUFACTURERSSERVICESLTD_06_05_2000_EX_1__cuad_MANUFACTURERSSERVICESLTD_06_05_2000__dccdb230__3.1,cuad_MANUFACTURERSSERVICESLTD_06_05_2000_EX_1__cuad_MANUFACTURERSSERVICESLTD_06_05_2000__dccdb230__2.1,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad28_direct_mutex_critical_b60_1778870607.json,60,254.04940700531006
74,074_gpt-4o_cuad28_scc_39_handoff_invariant,gpt-4o,cuad,scc_39,28,handoff_invariant,cuad_MANUFACTURERSSERVICESLTD_06_05_2000_EX_1__cuad_MANUFACTURERSSERVICESLTD_06_05_2000__dccdb230__3.1,cuad_MANUFACTURERSSERVICESLTD_06_05_2000_EX_1__cuad_MANUFACTURERSSERVICESLTD_06_05_2000__dccdb230__2.1,cuad_MANUFACTURERSSERVICESLTD_06_05_2000_EX_1__cuad_MANUFACTURERSSERVICESLTD_06_05_2000__dccdb230__6,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad28_handoff_invariant_critical_b60_1778870736.json,57,270.2318608760834
75,075_gpt-4o_cuad28_scc_39_temporal_gate,gpt-4o,cuad,scc_39,28,temporal_gate,cuad_MANUFACTURERSSERVICESLTD_06_05_2000_EX_1__cuad_MANUFACTURERSSERVICESLTD_06_05_2000__dccdb230__3.1,cuad_MANUFACTURERSSERVICESLTD_06_05_2000_EX_1__cuad_MANUFACTURERSSERVICESLTD_06_05_2000__dccdb230__2.1,cuad_MANUFACTURERSSERVICESLTD_06_05_2000_EX_1__cuad_MANUFACTURERSSERVICESLTD_06_05_2000__dccdb230__6,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad28_temporal_gate_critical_b60_1778870754.json,60,207.99131202697754
76,076_gpt-4o_cuad28_scc_39_condition_trigger,gpt-4o,cuad,scc_39,28,condition_trigger,cuad_MANUFACTURERSSERVICESLTD_06_05_2000_EX_1__cuad_MANUFACTURERSSERVICESLTD_06_05_2000__dccdb230__3.1,cuad_MANUFACTURERSSERVICESLTD_06_05_2000_EX_1__cuad_MANUFACTURERSSERVICESLTD_06_05_2000__dccdb230__2.1,cuad_MANUFACTURERSSERVICESLTD_06_05_2000_EX_1__cuad_MANUFACTURERSSERVICESLTD_06_05_2000__dccdb230__6,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad28_condition_trigger_critical_b60_1778870763.json,60,280.2105121612549
77,077_gpt-4o_cuad34_scc_11_direct_mutex,gpt-4o,cuad,scc_11,34,direct_mutex,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__9,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__11.4.3,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad34_direct_mutex_critical_b60_1778870829.json,55,311.5615186691284
78,078_gpt-4o_cuad34_scc_11_handoff_invariant,gpt-4o,cuad,scc_11,34,handoff_invariant,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__9,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__11.4.3,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__7.2,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad34_handoff_invariant_critical_b60_1778870959.json,60,333.6160891056061
79,079_gpt-4o_cuad34_scc_11_temporal_gate,gpt-4o,cuad,scc_11,34,temporal_gate,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__9,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__11.4.3,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__7.2,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad34_temporal_gate_critical_b60_1778871151.json,57,236.6475830078125
80,080_gpt-4o_cuad34_scc_11_condition_trigger,gpt-4o,cuad,scc_11,34,condition_trigger,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__9,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__11.4.3,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__7.2,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad34_condition_trigger_critical_b60_1778871462.json,59,270.9233169555664
81,081_gemini-2.5-pro_debian11_scc_23_direct_mutex,gemini-2.5-pro,debian,scc_23,11,direct_mutex,node-parse-json,node-deep-equal,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_gemini25pro_health_current_balanced_b60_current_debian11_direct_mutex_critical_b60_1779121137.json,45,382.16608476638794
82,082_gemini-2.5-pro_debian11_scc_23_handoff_invariant,gemini-2.5-pro,debian,scc_23,11,handoff_invariant,node-parse-json,node-deep-equal,node-tape,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_gemini25pro_health_current_balanced_b60_current_debian11_handoff_invariant_critical_b60_1779121137.json,59,485.79805064201355
83,083_gemini-2.5-pro_sec_ex219_scc_3_direct_mutex,gemini-2.5-pro,sec_ex21,scc_3,9,direct_mutex,us-cw-3682212,us-cw-3682811,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_gemini25pro_health_current_balanced_b60_current_sec_ex219_direct_mutex_critical_b60_1779121591.json,47,462.7183220386505
84,084_gemini-2.5-pro_sec_ex219_scc_2_handoff_invariant,gemini-2.5-pro,sec_ex21,scc_2,9,handoff_invariant,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_gemini25pro_health_current_balanced_b60_current_sec_ex219_handoff_invariant_critical_b60_1779121743.json,35,360.3848252296448
85,085_gemini-2.5-pro_debian11_scc_23_temporal_gate,gemini-2.5-pro,debian,scc_23,11,temporal_gate,node-parse-json,node-deep-equal,node-tape,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_gemini25pro_current_balanced_partA_b60_current_debian11_temporal_gate_critical_b60_1779123439.json,42,544.8226947784424
86,086_gemini-2.5-pro_debian11_scc_23_condition_trigger,gemini-2.5-pro,debian,scc_23,11,condition_trigger,node-parse-json,node-deep-equal,node-tape,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_gemini25pro_current_balanced_partA_b60_current_debian11_condition_trigger_critical_b60_1779123439.json,49,554.8349320888519
87,087_gemini-2.5-pro_debian12_scc_8_temporal_gate,gemini-2.5-pro,debian,scc_8,12,temporal_gate,libecore-x1,libecore-input1,libevas1-engines-x,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_gemini25pro_current_balanced_partA_b60_current_debian12_temporal_gate_critical_b60_1779124078.json,58,465.2023410797119
88,088_gemini-2.5-pro_debian12_scc_8_condition_trigger,gemini-2.5-pro,debian,scc_8,12,condition_trigger,libecore-x1,libecore-input1,libevas1-engines-x,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_gemini25pro_current_balanced_partA_b60_current_debian12_condition_trigger_critical_b60_1779124633.json,57,479.9927279949188
89,089_gemini-2.5-pro_sec_ex219_scc_7_temporal_gate,gemini-2.5-pro,sec_ex21,scc_7,9,temporal_gate,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_gemini25pro_current_balanced_partA_b60_current_sec_ex219_temporal_gate_critical_b60_1779124725.json,50,442.3629500865936
90,090_gemini-2.5-pro_sec_ex219_scc_6_condition_trigger,gemini-2.5-pro,sec_ex21,scc_6,9,condition_trigger,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_gemini25pro_current_balanced_partA_b60_current_sec_ex219_condition_trigger_critical_b60_1779125208.json,42,374.84692883491516
91,091_gemini-2.5-pro_sec_ex2110_scc_2_temporal_gate,gemini-2.5-pro,sec_ex21,scc_2,10,temporal_gate,us-cw-515909,us-cw-1020294,us-cw-515912,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_gemini25pro_current_balanced_partA_b60_current_sec_ex2110_temporal_gate_critical_b60_1779125643.json,51,913.2452900409698
92,092_gemini-2.5-pro_sec_ex2110_scc_5_condition_trigger,gemini-2.5-pro,sec_ex21,scc_5,10,condition_trigger,us-cw-515909,us-cw-1020294,us-cw-515912,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_gemini25pro_current_balanced_partA_b60_current_sec_ex2110_condition_trigger_critical_b60_1779125733.json,50,1197.1317598819733
93,093_gemini-2.5-pro_sec_ex2111_scc_3_temporal_gate,gemini-2.5-pro,sec_ex21,scc_3,11,temporal_gate,us-cw-406176,us-cw-423245,us-cw-74754,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_gemini25pro_current_balanced_partA_b60_current_sec_ex2111_temporal_gate_critical_b60_1779127003.json,54,517.352646112442
94,094_gemini-2.5-pro_sec_ex2111_scc_3_condition_trigger,gemini-2.5-pro,sec_ex21,scc_3,11,condition_trigger,us-cw-406176,us-cw-423245,us-cw-74754,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_gemini25pro_current_balanced_partA_b60_current_sec_ex2111_condition_trigger_critical_b60_1779127290.json,58,472.44412302970886
95,095_gemini-2.5-pro_sec_ex2112_scc_5_temporal_gate,gemini-2.5-pro,sec_ex21,scc_5,12,temporal_gate,us-cw-708556,us-cw-502062,us-cw-911364,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_gemini25pro_current_balanced_partA_b60_current_sec_ex2112_temporal_gate_critical_b60_1779127602.json,59,424.24843406677246
96,096_gemini-2.5-pro_sec_ex2112_scc_1_condition_trigger,gemini-2.5-pro,sec_ex21,scc_1,12,condition_trigger,us-cw-708556,us-cw-502062,us-cw-911364,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_gemini25pro_current_balanced_partA_b60_current_sec_ex2112_condition_trigger_critical_b60_1779128089.json,60,426.8332829475403
97,097_gemini-2.5-pro_sec_ex2118_scc_1_temporal_gate,gemini-2.5-pro,sec_ex21,scc_1,18,temporal_gate,us-cw-841126,us-cw-118216,us-cw-130,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_gemini25pro_current_balanced_partA_b60_current_sec_ex2118_temporal_gate_critical_b60_1779128467.json,60,601.1557121276855
98,098_gemini-2.5-pro_sec_ex2118_scc_2_condition_trigger,gemini-2.5-pro,sec_ex21,scc_2,18,condition_trigger,us-cw-841126,us-cw-118216,us-cw-130,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_gemini25pro_current_balanced_partA_b60_current_sec_ex2118_condition_trigger_critical_b60_1779128679.json,57,450.8764009475708
99,099_gemini-2.5-pro_bgb9_scc_7_temporal_gate,gemini-2.5-pro,bgb,scc_7,9,temporal_gate,bgb_559e,bgb_558,bgb_555d,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_gemini25pro_current_balanced_partA_b60_current_bgb9_temporal_gate_critical_b60_1779129212.json,47,541.8001971244812
